City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
90,yellowknife,40,CA,1536566400,75,62.45,-114.38,41.0,6.93
91,tucurui,92,BR,1536570347,96,-3.77,-49.67,71.95,2.37
92,port lincoln,0,AU,1536570347,61,-34.72,135.86,67.09,11.88
93,arraial do cabo,92,BR,1536570347,97,-22.97,-42.02,68.08,0.36
94,conceicao da barra,0,BR,1536570052,93,-18.59,-39.73,71.32,5.73
95,naze,88,NG,1536570348,100,5.43,7.07,76.27,4.72
96,bethel,1,US,1536565980,89,60.79,-161.76,46.94,9.17
97,pevek,0,RU,1536570349,71,69.7,170.27,53.95,4.83
98,xining,76,CN,1536570350,69,36.62,101.77,61.15,1.7
99,provideniya,12,RU,1536570350,95,64.42,-173.23,47.47,1.25
100,griffith,0,AU,1536570350,72,-34.29,146.06,58.27,2.71
101,port hedland,0,AU,1536568200,39,-20.31,118.58,84.2,18.34
102,alofi,92,NU,1536566400,94,-19.06,-169.92,71.6,3.36
103,mocuba,92,MZ,1536570351,100,-16.84,36.99,68.89,5.84
104,tianguismanalco,92,MX,1536570351,98,18.98,-98.45,48.73,1.59
105,hervey bay,12,AU,1536570352,92,-25.3,152.85,68.8,13.67
106,chokurdakh,0,RU,1536570352,55,70.62,147.9,57.73,15.46
107,hasaki,75,JP,1536568920,100,35.73,140.83,77.0,5.82
108,porto novo,75,BR,1536570000,87,-23.68,-45.44,57.2,2.24
109,puerto del rosario,20,ES,1536568200,69,28.5,-13.86,75.2,16.11
110,pangnirtung,76,CA,1536570354,88,66.15,-65.72,32.26,8.3
111,sovetskiy,0,RU,1536570355,70,56.76,48.47,56.56,8.75
112,saint-philippe,1,CA,1536567300,87,45.36,-73.48,48.2,3.36
113,uribia,0,CO,1536570355,86,11.71,-72.27,79.06,11.99
114,thunder bay,5,CA,1536566400,100,48.41,-89.26,44.6,2.24
115,faanui,64,PF,1536570356,100,-16.48,-151.75,77.89,7.74
116,butaritari,48,KI,1536570356,100,3.07,172.79,84.28,13.22
117,lorengau,80,PG,1536570357,100,-2.02,147.27,80.86,9.42
118,kapit,68,MY,1536570357,72,2.02,112.94,84.28,1.14
119,carnarvon,0,ZA,1536570357,31,-30.97,22.13,57.01,9.08
120,narovchat,92,RU,1536570357,33,53.88,43.7,76.36,3.49
121,cabo san lucas,36,MX,1536570215,100,22.89,-109.91,82.75,8.3
122,okhotsk,92,RU,1536570358,100,59.36,143.24,48.91,5.39
123,talnakh,92,RU,1536570358,92,69.49,88.39,38.83,9.98
124,bubaque,20,GW,1536566400,100,11.28,-15.83,75.2,5.06
125,coquimbo,90,CL,1536566400,100,-29.95,-71.34,48.2,3.36
126,yerbogachen,0,RU,1536570359,56,61.28,108.01,52.96,3.71
127,buchanan,75,LR,1536568200,94,5.88,-10.05,75.2,3.36
128,upernavik,88,GL,1536570360,100,72.79,-56.15,35.5,5.61
129,kenai,1,US,1536566160,86,60.55,-151.26,50.0,4.7
130,turukhansk,92,RU,1536570361,97,65.8,87.96,44.95,5.39
131,kalamare,0,BW,1536570361,29,-22.93,26.57,67.18,14.45
132,daru,92,SL,1536570361,100,7.99,-10.85,74.29,4.72
133,shelburne,90,CA,1536568920,93,44.08,-80.2,55.4,19.46
134,la paz,20,MX,1536570362,100,24.15,-110.32,72.04,3.04
135,ocos,75,GT,1536565200,100,14.51,-92.19,73.4,4.72
136,luangwa,0,MZ,1536570363,48,-15.62,30.4,81.76,16.8
